id,title,price,payment_link,description,image
1,"32 oz Nickel Plating Solution + 1 Nickel Anode",49.99,"https://www.paypal.com/ncp/payment/JJUUHK263W73S","High purity nickel chloride plating solution. Includes 1 nickel anode. Optimized for smooth, consistent deposits.","/images/nickel-32oz.jpg"
2,"64 oz Nickel Plating Solution + 2 Nickel Anodes",89.99,"https://www.paypal.com/ncp/payment/XXXXXXX","Double size kit for larger jobs. Stable pH and bright finish.","/images/nickel-64oz.jpg"
3,"16 oz Nickel Plating Solution + 1 Small Anode",29.99,"https://www.paypal.com/ncp/payment/YYYYYYY","Starter kit for small parts and testing.","/images/nickel-16oz.jpg"
4,"Nickel Sulfate Hexahydrate 100 Grams",39.99,"https://www.paypal.com/ncp/payment/QJ9RAZ7MYJX7G","Nickel sulfate hexahydrate, 100 grams.","https://i.postimg.cc/kMfK2n7k/sulfate.jpg"
5,"Nickel Brush Plating Kit - 1 Gallon+Power Supply & More",190.00,"https://www.paypal.com/ncp/payment/U2AA8YH4PUFEU","Nickel Brush Plating Kit - 1 Gallon Solution, Power Supply 30v 10a, Brush Plating Pads, 4 Nickel Plates for Wand.","https://i.postimg.cc/VvGgT6W4/brush.png"
6,"Electroless Nickel Plating Kit 64 oz - No Power Supply Needed",60.00,"https://www.paypal.com/ncp/payment/WFDB7FPQUAYNL","Autocatalytic electroless nickel kit that plates evenly on steel, copper, and brass. Great for complex shapes, recessed areas, restoration, automotive parts, and hardware.","https://i.postimg.cc/k5ycMfm2/20250714-145258.jpg"
7,"1 Gallon Bright Copper Plating Solution",55.00,"https://www.paypal.com/ncp/payment/6GTQT8LPLBA38","Produces a smooth, bright copper finish with strong adhesion on properly prepared metals. Useful for build-up, repair, base coating, and reusable DC plating bath setups.","https://i.postimg.cc/qRFghcj5/copper.png"
8,"64oz Bright Copper Plating Solution",34.99,"https://www.paypal.com/ncp/payment/8QFTWEJMFCZF8","Ready-to-use bright copper plating solution for smooth copper deposits, build-up work, repair, and base coating before additional finishing.","https://i.postimg.cc/15m233Nt/20260429-132908.jpg"
9,"2 lbs Pure Nickel Anodes",69.99,"https://www.paypal.com/ncp/payment/U88EE2RFW3PH2","2 lbs 99.97% pure nickel anodes for electroplating","https://i.postimg.cc/J79XmP6T/2lbs.jpg"
